Date,Open,High,Low,Close,Adj Close,Volume
2002-05-01,14.619259,16.340740,12.767407,13.125926,13.125926,20052231
2002-06-01,13.392593,14.962963,12.791111,13.499259,13.499259,10375091
2002-07-01,13.466667,14.385185,11.807407,13.795556,13.795556,19394104
2002-08-01,13.807407,13.837037,10.681481,11.407407,11.407407,29106679
2002-09-01,11.345185,13.511111,10.974815,11.949630,11.949630,29561294
2002-10-01,11.917037,11.985185,8.814815,11.967407,11.967407,84346655
2002-11-01,11.851852,12.592593,9.780741,10.968889,10.968889,64724068
2002-12-01,11.084444,12.413333,10.373333,12.000000,12.000000,38371953
2003-01-01,11.955556,13.315556,11.955556,12.577778,12.577778,30555225
2003-02-01,12.533333,12.577778,10.866667,11.715556,11.715556,20509650
2003-03-01,11.755556,13.137778,10.288889,12.315556,12.315556,45715950
2003-04-01,12.328889,14.422222,12.106667,13.973333,13.973333,31810500
2003-05-01,13.866667,15.977778,13.711111,15.057778,15.057778,33942150
2003-06-01,15.137778,19.026667,14.231111,18.657778,18.657778,64572750
2003-07-01,18.595556,21.088888,18.364445,20.262222,20.262222,52537275
2003-08-01,20.342222,23.955557,20.222221,23.955557,23.955557,34797375
2003-09-01,23.982222,27.822222,23.786667,27.057777,27.057777,76794750
2003-10-01,27.066668,31.431110,24.586666,25.631111,25.631111,110457450
2003-11-01,25.413334,25.600000,22.524445,24.253332,24.253332,57068250
2003-12-01,24.486668,24.626667,16.959999,17.680000,17.680000,115635750
2004-01-01,17.760000,19.580000,14.866667,15.106667,15.106667,114898200
2004-02-01,15.113333,17.120001,14.566667,15.866667,15.866667,62721150
2004-03-01,16.166668,17.066668,13.526667,16.833332,16.833332,76257450
2004-04-01,16.926666,20.373333,16.006666,18.466667,18.466667,84823800
2004-05-01,18.453333,19.799999,16.700001,19.213333,19.213333,48892050
2004-06-01,18.933332,20.666668,17.733334,19.586666,19.586666,53013000
2004-07-01,19.433332,19.580000,14.546667,15.873333,15.873333,59482650
2004-08-01,15.553333,17.600000,14.580000,15.900000,15.900000,59820600
2004-09-01,15.826667,16.526667,13.400000,13.946667,13.946667,59920500
2004-10-01,14.200000,15.973333,13.246667,14.700000,14.700000,71677500
2004-11-01,14.700000,16.280001,14.460000,16.006666,16.006666,58449900
2004-12-01,16.200001,17.546667,14.860000,15.480000,15.480000,71051700
2005-01-01,15.560000,15.640000,12.260000,13.193333,13.193333,79767900
2005-02-01,13.293333,14.113333,11.933333,12.013333,12.013333,46869750
2005-03-01,12.120000,13.226667,11.373333,12.693333,12.693333,91316550
2005-04-01,12.640000,13.886667,12.040000,13.366667,13.366667,70537800
2005-05-01,13.500000,15.633333,13.366667,14.486667,14.486667,64627500
2005-06-01,14.480000,15.566667,13.173333,13.626667,13.626667,51125250
2005-07-01,13.673333,15.233333,12.966667,14.000000,14.000000,47179650
2005-08-01,14.000000,14.033333,12.373333,12.700000,12.700000,44757000
2005-09-01,12.666667,13.166667,11.393333,11.733333,11.733333,64096200
2005-10-01,11.660000,13.500000,11.340000,12.406667,12.406667,80060250
2005-11-01,12.453333,13.433333,11.966667,12.293333,12.293333,59892900
2005-12-01,12.226667,16.850000,12.120000,15.380000,15.380000,80808450
2006-01-01,14.720000,14.910000,12.420000,13.040000,13.040000,70036000
2006-02-01,12.190000,12.390000,10.270000,11.400000,11.400000,123146700
2006-03-01,11.540000,12.170000,9.650000,10.720000,10.720000,109743300
2006-04-01,10.770000,11.330000,8.930000,10.260000,10.260000,125841900
2006-05-01,10.280000,11.200000,9.480000,10.420000,10.420000,92320600
